carat,cut,color,clarity,depth,table,x,y,z,price
2.26,Ideal,G,SI2,61.9,57.0,8.44,8.36,5.2,12831
2.43,Very Good,H,SI2,63.2,57.0,8.56,8.5,5.39,16170
0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,2797
0.4,Ideal,F,I1,63.3,60.0,4.68,4.64,2.95,630
0.31,Ideal,G,VS2,61.6,55.0,4.39,4.37,2.7,698
0.53,Very Good,F,SI2,60.5,60.0,5.19,5.23,3.15,1132
0.7,Premium,D,SI2,60.8,61.0,5.69,5.64,3.45,1987
1.13,Good,F,SI2,64.0,58.0,6.52,6.58,4.19,3952
0.35,Ideal,E,SI1,60.9,55.0,4.53,4.57,2.77,614
1.01,Fair,H,VS1,61.4,66.0,6.34,6.24,3.87,5062
0.3,Premium,D,SI1,59.7,59.0,4.34,4.37,2.6,552
1.23,Ideal,I,SI2,61.2,58.0,6.86,6.9,4.21,5315
0.33,Premium,G,VS1,61.6,57.0,4.51,4.42,2.75,797
0.51,Premium,E,VVS2,61.0,61.0,5.17,5.13,3.14,2060
0.41,Ideal,E,VS1,62.7,57.0,4.76,4.72,2.97,1153
1.57,Premium,H,VS2,61.0,59.0,7.5,7.54,4.59,11470
1.25,Ideal,E,SI2,62.3,57.0,6.83,6.88,4.27,6670
1.08,Premium,D,SI1,62.6,56.0,6.62,6.57,4.13,5758
1.02,Premium,H,VS2,62.4,58.0,6.43,6.39,4.0,5454
0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57,2775
1.02,Very Good,E,SI2,63.0,57.0,6.39,6.44,4.04,4398
0.31,Ideal,G,IF,62.0,54.0,4.36,4.38,2.71,891
1.01,Very Good,E,VVS1,61.6,58.0,6.45,6.57,4.01,10693
0.57,Premium,D,VS2,60.8,59.0,5.38,5.34,3.26,2019
0.26,Very Good,F,VVS1,60.8,58.0,4.11,4.18,2.52,679
0.9,Fair,H,SI2,66.0,63.0,5.89,5.79,3.86,2376
0.9,Very Good,F,SI2,63.4,59.0,6.07,6.11,3.86,3605
1.0,Very Good,G,VVS2,63.0,54.0,6.37,6.43,4.03,8138
0.32,Ideal,F,VVS2,62.1,56.0,4.4,4.46,2.75,741
0.34,Ideal,G,VS2,62.2,53.0,4.46,4.51,2.79,596
0.38,Very Good,H,VS2,60.4,56.0,4.71,4.73,2.85,871
0.52,Ideal,G,VS1,62.3,55.0,5.14,5.16,3.21,1689
1.52,Good,H,SI1,63.6,57.0,7.3,7.25,4.63,10078
1.0,Good,G,VS1,64.4,58.0,6.23,6.29,4.03,5906
0.54,Ideal,E,VS2,62.8,55.0,5.21,5.24,3.28,1713
1.01,Premium,E,SI2,59.6,61.0,6.59,6.56,3.92,4434
0.26,Ideal,G,VS1,62.1,55.0,4.09,4.12,2.55,478
0.33,Premium,G,VVS2,61.0,58.0,4.48,4.44,2.72,965
0.9,Premium,H,SI2,61.1,58.0,6.21,6.13,3.77,2732
1.15,Premium,H,SI1,62.0,58.0,6.77,6.71,4.18,5433
0.71,Ideal,G,SI2,61.7,55.0,5.71,5.74,3.53,2266
1.23,Ideal,I,VS2,62.4,58.0,6.81,6.88,4.27,6817
0.7,Very Good,F,VVS2,62.5,58.0,5.63,5.67,3.53,3247
0.52,Ideal,D,SI1,61.2,57.0,5.18,5.22,3.18,1429
0.7,Fair,E,SI2,64.6,53.0,5.58,5.63,3.62,2092
0.91,Very Good,I,SI1,63.5,57.0,6.12,6.07,3.87,2852
0.31,Ideal,F,VS2,62.7,57.0,4.34,4.3,2.71,802
0.31,Ideal,H,VVS2,61.4,56.0,4.38,4.41,2.7,609
1.07,Ideal,H,SI1,62.0,57.0,6.51,6.56,4.05,4830
1.01,Premium,D,VVS2,62.4,60.0,6.31,6.36,3.95,10221
0.91,Ideal,G,VS2,62.3,57.0,6.18,6.24,3.87,4257
1.22,Ideal,H,VVS2,61.8,57.0,6.85,6.89,4.25,8014
0.9,Very Good,G,VS2,61.9,56.0,6.17,6.23,3.84,4269
0.71,Good,J,VS2,63.5,64.0,5.65,5.6,3.57,1644
1.28,Very Good,J,SI1,63.4,59.0,6.89,6.84,4.35,4967
0.58,Ideal,E,SI1,61.5,55.0,5.39,5.34,3.3,1758
0.31,Premium,H,VVS1,60.6,59.0,4.36,4.38,2.65,707
0.34,Very Good,G,VVS2,61.7,56.0,4.47,4.51,2.77,775
1.2,Ideal,H,SI1,61.9,56.0,6.78,6.82,4.21,6578
0.34,Ideal,F,SI1,63.0,54.0,4.5,4.48,2.83,727
1.0,Premium,E,SI2,62.8,59.0,6.34,6.3,3.97,4200
0.35,Ideal,D,SI1,62.7,56.0,4.49,4.51,2.82,644
0.5,Very Good,F,VVS1,61.1,55.0,5.14,5.18,3.15,2122
1.51,Very Good,E,SI1,63.1,58.0,7.28,7.23,4.58,11565
0.9,Good,G,VVS2,62.6,63.0,6.1,6.14,3.83,4485
0.71,Premium,D,VVS2,60.4,59.0,5.73,5.69,3.45,3877
0.51,Ideal,G,VVS2,60.1,56.0,5.19,5.22,3.13,1875
0.71,Ideal,D,VS2,62.7,57.0,5.7,5.75,3.59,3212
1.01,Premium,I,SI1,62.7,58.0,6.4,6.33,3.99,3337
0.32,Very Good,H,VS2,63.1,55.0,4.36,4.33,2.74,648
0.4,Ideal,G,VS2,60.9,58.0,4.76,4.79,2.91,825
1.51,Ideal,G,SI2,62.3,56.0,7.31,7.37,4.57,9391
0.32,Premium,G,VS1,60.6,60.0,4.4,4.44,2.68,645
1.21,Premium,F,VS1,60.1,58.0,6.89,6.98,4.17,9279
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,405
0.41,Ideal,E,VS1,61.8,55.0,4.8,4.75,2.95,1153
0.7,Premium,E,SI2,61.8,59.0,5.69,5.76,3.54,2159
1.02,Premium,H,I1,62.5,60.0,6.41,6.39,4.0,3199
0.61,Ideal,H,IF,59.4,59.0,5.55,5.59,3.31,2461
1.8,Ideal,F,SI1,61.8,57.0,7.83,7.79,4.83,16513
0.84,Ideal,D,VVS1,62.0,54.0,6.04,6.08,3.76,6399
1.03,Premium,G,VS2,62.1,57.0,6.48,6.41,4.0,6146
1.34,Ideal,G,VVS1,62.2,56.0,7.11,7.04,4.4,11640
0.6,Ideal,D,SI1,61.4,55.0,5.45,5.47,3.35,2263
0.37,Ideal,H,IF,61.7,53.0,4.66,4.68,2.88,936
1.02,Very Good,H,SI1,63.0,58.0,6.34,6.4,4.01,4617
0.72,Ideal,E,SI1,62.9,54.0,5.76,5.72,3.61,2590
0.5,Very Good,G,VS2,60.9,58.0,5.08,5.1,3.1,1351
0.31,Ideal,I,VS2,61.6,55.0,4.38,4.42,2.71,452
0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,2228
